Q1_intent,Q2_engine_start,Q2b_running_issue,Q3_sound,Q3b_electrical,Q4_noise_detail,Q7_overheat_detail,Q8_smoke_color,Q_brake_detail,Q_gear_detail,Q6_smells,Q5_lights,Q9_recent,recent_rain,parked_overnight,last_fueled,vehicle_make,fuel_type,service_type,source
WONT_START,CRANKS_NO_START,NOT_ASKED,NORMAL_CRANKING,NOT_ASKED,NOT_ASKED,NOT_ASKED,NOT_ASKED,NOT_ASKED,NOT_ASKED,FUEL_SMELL,"[""CHECK_ENGINE"", ""NONE""]","[""HARD_START""]",MONSOON,OUTDOOR,WITHIN_WEEK,Suzuki,PETROL,FUEL_PUMP,real
WONT_START,NO_CRANK,NOT_ASKED,NOT_ASKED,DIM_LIGHTS,NOT_ASKED,NOT_ASKED,NOT_ASKED,NOT_ASKED,NOT_ASKED,NO_SMELL,"[""BATTERY""]","[""HARD_START"", ""NO_SIGNS""]",NONE,OUTDOOR,OVER_WEEK,Nissan,PETROL,BATTERY_JUMP,real
ENGINE_PROBLEM,STARTS_NORMAL,NO_POWER,NOT_ASKED,NOT_ASKED,NOT_ASKED,NOT_ASKED,NOT_ASKED,NOT_ASKED,NOT_ASKED,NO_SMELL,"[""BATTERY""]","[""LIGHTS_FLICKER""]",NONE,INDOOR,WITHIN_WEEK,Honda,PETROL,ALTERNATOR_ISSUE,real
WONT_START,CRANKS_NO_START,NOT_ASKED,NORMAL_CRANKING,NOT_ASKED,NOT_ASKED,NOT_ASKED,NOT_ASKED,NOT_ASKED,NOT_ASKED,FUEL_SMELL,"[""CHECK_ENGINE""]","[""HARD_START""]",NONE,INDOOR,WITHIN_WEEK,Hyundai,PETROL,IGNITION_SYSTEM,real
WONT_START,STARTS_BUT_ISSUE,STALLING,NOT_ASKED,NOT_ASKED,NOT_ASKED,NOT_ASKED,NOT_ASKED,NOT_ASKED,NOT_ASKED,NO_SMELL,"[""CHECK_ENGINE""]","[""HARD_START""]",NONE,OUTDOOR,WITHIN_WEEK,Toyota,PETROL,IGNITION_SYSTEM,real
BRAKE_ISSUE,NOT_ASKED,NOT_ASKED,NOT_ASKED,NOT_ASKED,NOT_ASKED,NOT_ASKED,NOT_ASKED,SOFT_PEDAL,NOT_ASKED,BURNING_OIL,"[""CHECK_ENGINE"", ""NONE""]","[""LOSS_OF_POWER"", ""UNUSUAL_NOISE""]",NONE,OUTDOOR,WITHIN_WEEK,Toyota,PETROL,BRAKE_FAILURE,real
WONT_START,STARTS_BUT_ISSUE,NOT_ASKED,NOT_ASKED,NOT_ASKED,NOT_ASKED,NOT_ASKED,NOT_ASKED,NOT_ASKED,NOT_ASKED,NO_SMELL,"[""NONE""]","[""HARD_START""]",NONE,INDOOR,TODAY_NEW_STATION,Mitsubishi,DIESEL,STARTER_MOTOR,real
WEIRD_BEHAVIOR,NO_CRANK,NOT_ASKED,NOT_ASKED,ALL_DEAD_NO_LIGHTS,NOT_ASKED,NOT_ASKED,NOT_ASKED,NOT_ASKED,NOT_ASKED,NO_SMELL,"[""CHECK_ENGINE""]","[""LIGHTS_FLICKER"", ""NO_SIGNS""]",WITHIN_3_DAYS,OUTDOOR,WITHIN_WEEK,Honda,PETROL,ELECTRICAL_FAULT_RAIN,real
WONT_START,CRANKS_NO_START,NOT_ASKED,NORMAL_CRANKING,NOT_ASKED,NOT_ASKED,NOT_ASKED,NOT_ASKED,NOT_ASKED,NOT_ASKED,FUEL_SMELL,"[""CHECK_ENGINE""]","[""UNUSUAL_NOISE""]",NONE,INDOOR,TODAY_USUAL,Nissan,PETROL,IGNITION_SYSTEM,real
ENGINE_PROBLEM,NO_CRANK,NOT_ASKED,NOT_ASKED,SOME_LIGHTS_ON,NOT_ASKED,NOT_ASKED,NOT_ASKED,NOT_ASKED,NOT_ASKED,BURNING_ELECTRICAL,"[""CHECK_ENGINE"", ""OIL""]","[""LOSS_OF_POWER"", ""UNUSUAL_NOISE""]",NONE,OUTDOOR,TODAY_USUAL,Toyota,DIESEL,SEVERE_MECHANICAL_TOW,real
WONT_START,NO_CRANK,NOT_ASKED,NOT_ASKED,ALL_DEAD_NO_LIGHTS,NOT_ASKED,NOT_ASKED,NOT_ASKED,NOT_ASKED,NOT_ASKED,NO_SMELL,"[""NONE""]","[""HARD_START"", ""NO_SIGNS""]",NONE,OUTDOOR,TODAY_NEW_STATION,Suzuki,PETROL,BATTERY_JUMP,real
ENGINE_PROBLEM,STARTS_NORMAL,NOISE,NOT_ASKED,NOT_ASKED,SQUEAL,NOT_ASKED,NOT_ASKED,NOT_ASKED,NOT_ASKED,BURNING_OIL,"[""TEMPERATURE""]","[""NO_SIGNS""]",YESTERDAY,INDOOR,TODAY_NEW_STATION,Mitsubishi,DIESEL,BELT_BROKEN,real
ENGINE_PROBLEM,NO_CRANK,NOT_ASKED,NOT_ASKED,ALL_DEAD_NO_LIGHTS,NOT_ASKED,NOT_ASKED,NOT_ASKED,NOT_ASKED,NOT_ASKED,BURNING_ELECTRICAL,"[""BATTERY"", ""CHECK_ENGINE""]","[""LIGHTS_FLICKER"", ""LOSS_OF_POWER""]",MONSOON,OUTDOOR,TODAY_USUAL,Suzuki,PETROL,ELECTRICAL_FAULT_RAIN,real
WEIRD_BEHAVIOR,NO_CRANK,NOT_ASKED,NOT_ASKED,SOME_LIGHTS_ON,NOT_ASKED,NOT_ASKED,NOT_ASKED,NOT_ASKED,NOT_ASKED,BURNING_OIL,"[""CHECK_ENGINE""]","[""LOSS_OF_POWER"", ""UNUSUAL_NOISE""]",NONE,OUTDOOR,TODAY_USUAL,Mitsubishi,DIESEL,SEVERE_MECHANICAL_TOW,real
WONT_START,NO_CRANK,NOT_ASKED,NOT_ASKED,SOME_LIGHTS_ON,NOT_ASKED,NOT_ASKED,NOT_ASKED,NOT_ASKED,NOT_ASKED,NO_SMELL,"[""BATTERY"", ""CHECK_ENGINE"", ""TEMPERATURE""]","[""LOSS_OF_POWER"", ""OVERHEATING_BEFORE""]",MONSOON,INDOOR,WITHIN_WEEK,Toyota,DIESEL,SEVERE_MECHANICAL_TOW,real
ENGINE_PROBLEM,STARTS_NORMAL,OVERHEATING,NOT_ASKED,NOT_ASKED,NOT_ASKED,ALWAYS,NOT_ASKED,NOT_ASKED,NOT_ASKED,NO_SMELL,"[""TEMPERATURE""]","[""OVERHEATING_BEFORE""]",NONE,OUTDOOR,WITHIN_WEEK,Nissan,DIESEL,RADIATOR_HOSE_LEAK,real
ENGINE_PROBLEM,CRANKS_NO_START,NOT_ASKED,NORMAL_CRANKING,NOT_ASKED,NOT_ASKED,NOT_ASKED,NOT_ASKED,NOT_ASKED,NOT_ASKED,NO_SMELL,"[""CHECK_ENGINE""]","[""HARD_START""]",NONE,INDOOR,WITHIN_WEEK,Mahindra,DIESEL,FUEL_PUMP,real
WONT_START,NO_CRANK,NOT_ASKED,NOT_ASKED,ALL_DEAD_NO_LIGHTS,NOT_ASKED,NOT_ASKED,NOT_ASKED,NOT_ASKED,NOT_ASKED,NO_SMELL,"[""BATTERY""]","[""HARD_START"", ""NO_SIGNS""]",WITHIN_3_DAYS,OUTDOOR,WITHIN_WEEK,Suzuki,PETROL,BATTERY_JUMP,real
GEAR_ISSUE,NOT_ASKED,NOT_ASKED,NOT_ASKED,NOT_ASKED,NOT_ASKED,NOT_ASKED,NOT_ASKED,NOT_ASKED,WONT_ENGAGE,BURNING_OIL,"[""NONE""]","[""LOSS_OF_POWER""]",YESTERDAY,INDOOR,TODAY_NEW_STATION,Suzuki,PETROL,CLUTCH_WORN,real
ENGINE_PROBLEM,NO_CRANK,NOT_ASKED,NOT_ASKED,DIM_LIGHTS,NOT_ASKED,NOT_ASKED,NOT_ASKED,NOT_ASKED,NOT_ASKED,BURNING_ELECTRICAL,"[""CHECK_ENGINE"", ""OIL""]","[""LOSS_OF_POWER"", ""OVERHEATING_BEFORE"", ""UNUSUAL_NOISE""]",YESTERDAY,OUTDOOR,TODAY_USUAL,Nissan,DIESEL,SEVERE_MECHANICAL_TOW,real
WEIRD_BEHAVIOR,STARTS_NORMAL,OVERHEATING,NOT_ASKED,NOT_ASKED,NOT_ASKED,WITH_AC,NOT_ASKED,NOT_ASKED,NOT_ASKED,BURNING_OIL,"[""CHECK_ENGINE""]","[""OVERHEATING_BEFORE""]",NONE,OUTDOOR,TODAY_NEW_STATION,Nissan,DIESEL,COOLANT_LOW,real
WONT_START,NO_CRANK,NOT_ASKED,NOT_ASKED,DIM_LIGHTS,NOT_ASKED,NOT_ASKED,NOT_ASKED,NOT_ASKED,NOT_ASKED,NO_SMELL,"[""BATTERY""]","[""LIGHTS_FLICKER""]",NONE,OUTDOOR,OVER_WEEK,Suzuki,PETROL,BATTERY_TERMINAL_CLEAN,real
ENGINE_PROBLEM,STARTS_BUT_ISSUE,NO_POWER,NOT_ASKED,NOT_ASKED,NOT_ASKED,NOT_ASKED,NOT_ASKED,NOT_ASKED,NOT_ASKED,NO_SMELL,"[""CHECK_ENGINE""]","[""NO_SIGNS""]",WITHIN_3_DAYS,INDOOR,WITHIN_WEEK,Toyota,HYBRID,FUEL_FILTER_CLOGGED,real
GEAR_ISSUE,NOT_ASKED,NOT_ASKED,NOT_ASKED,NOT_ASKED,NOT_ASKED,NOT_ASKED,NOT_ASKED,NOT_ASKED,SLIPPING,NO_SMELL,"[""SERVICE"", ""NONE""]","[""LOSS_OF_POWER"", ""UNUSUAL_NOISE""]",WITHIN_3_DAYS,INDOOR,TODAY_USUAL,Mazda,PETROL,TRANSMISSION_ISSUE,real
ENGINE_PROBLEM,STARTS_NORMAL,NO_POWER,NOT_ASKED,NOT_ASKED,NOT_ASKED,NOT_ASKED,NOT_ASKED,NOT_ASKED,NOT_ASKED,NO_SMELL,"[""CHECK_ENGINE""]","[""LOSS_OF_POWER""]",WITHIN_3_DAYS,INDOOR,TODAY_NEW_STATION,Suzuki,PETROL,FUEL_FILTER_CLOGGED,real
BRAKE_ISSUE,NOT_ASKED,NOT_ASKED,NOT_ASKED,NOT_ASKED,NOT_ASKED,NOT_ASKED,NOT_ASKED,GRINDING,NOT_ASKED,NO_SMELL,"[""NONE""]","[""UNUSUAL_NOISE""]",MONSOON,OUTDOOR,OVER_WEEK,Suzuki,PETROL,BRAKE_PAD_WORN,real
ENGINE_PROBLEM,STARTS_NORMAL,NO_POWER,NOT_ASKED,NOT_ASKED,NOT_ASKED,NOT_ASKED,NOT_ASKED,NOT_ASKED,NOT_ASKED,NO_SMELL,"[""BATTERY""]","[""LIGHTS_FLICKER""]",YESTERDAY,OUTDOOR,OVER_WEEK,Honda,HYBRID,ALTERNATOR_ISSUE,real
