service_type,real_n,synthetic_n,final_n,dtc_coverage
ALTERNATOR_ISSUE,15,35,50,yes
BATTERY_JUMP,15,35,50,yes
BATTERY_REPLACE,15,35,50,yes
BATTERY_TERMINAL_CLEAN,15,35,50,yes
BELT_BROKEN,15,35,50,no
BRAKE_FAILURE,15,35,50,no
BRAKE_PAD_WORN,15,35,50,no
CLUTCH_WORN,15,35,50,yes
COOLANT_LOW,15,35,50,yes
ELECTRICAL_FAULT_RAIN,15,35,50,no
ENGINE_OVERHEAT_SEVERE,15,35,50,yes
FUEL_FILTER_CLOGGED,15,35,50,yes
FUEL_PUMP,15,35,50,yes
IGNITION_SYSTEM,15,35,50,yes
RADIATOR_FAN_ISSUE,15,35,50,yes
RADIATOR_HOSE_LEAK,15,35,50,no
SEVERE_MECHANICAL_TOW,15,35,50,no
STARTER_MOTOR,15,35,50,yes
TRANSMISSION_ISSUE,15,35,50,yes
