service_type,real_n,synthetic_n,final_n
ABS_SENSOR_RUST_CORROSION,4,12,16
ALTERNATOR_ISSUE,24,26,50
BATTERY_JUMP,65,0,65
BATTERY_REPLACE,27,23,50
BATTERY_TERMINAL_CLEAN,15,35,50
BELT_BROKEN,17,33,50
BRAKE_FAILURE,12,36,48
BRAKE_PAD_WORN,33,17,50
CLUTCH_WORN,20,30,50
COOLANT_LOW,35,15,50
ELECTRICAL_FAULT_RAIN,16,34,50
ENGINE_OVERHEAT_SEVERE,14,36,50
FUEL_FILTER_CLOGGED,24,26,50
FUEL_PUMP,19,31,50
HYDRO_LOCK,5,15,20
IGNITION_SYSTEM,17,33,50
RADIATOR_FAN_ISSUE,30,20,50
RADIATOR_HOSE_LEAK,17,33,50
SEVERE_MECHANICAL_TOW,10,30,40
STARTER_MOTOR,24,26,50
TRANSMISSION_ISSUE,15,35,50
