incident_id,latitude,longitude,road_type,road_name,total_lanes,lanes_blocked,incident_type,severity_factor,hour,minute,day_of_week,day_of_week_name,month,duration_minutes,timestamp,impact_score,priority,clf,tvf,tf,lf,isf,predicted_queue_km,predicted_vhl,predicted_recovery_min,cluster
INC-0001,6.752726,79.88813,trunk,Galle Road New Deviation,2,2,accident_major,1.0,15,32,2,Wednesday,12,72,2026-12-16T15:32:00,8.0,CRITICAL,1.0,0.585,0.65,0.85,1.0,15.0,1170.0,171.4,0
INC-0002,6.843348,79.878375,secondary,Cpt.Sumudu Rajapaksha Mawatha,2,1,overheating,0.5,19,44,1,Tuesday,8,61,2026-08-01T19:44:00,5.6,HIGH,0.5,0.525,0.75,0.5,0.5,1.11,22.2,40.0,1
INC-0003,6.95185,79.888768,living_street,Unknown,2,1,accident_minor,0.5,22,10,3,Thursday,9,35,2026-09-22T22:10:00,2.6,LOW,0.5,0.045,0.15,0.1,0.5,0.0,0.0,0.0,-1
INC-0004,6.812944,79.938279,secondary,Piliyandala-Maharagama Road,2,1,flat_tire,0.3,7,20,0,Monday,6,30,2026-06-28T07:20:00,5.5,HIGH,0.5,0.56,0.8,0.5,0.3,1.0,15.0,45.0,-1
INC-0005,6.921586,79.94205,tertiary,Unknown,2,1,overheating,0.5,23,52,3,Thursday,5,23,2026-05-05T23:52:00,2.9,LOW,0.5,0.055,0.1,0.35,0.5,0.0,0.0,0.0,-1
INC-0006,6.922518,79.941042,tertiary,Unknown,2,1,flat_tire,0.3,8,44,3,Thursday,1,24,2026-01-17T08:44:00,5.6,HIGH,0.5,0.55,1.0,0.35,0.3,1.25,18.8,15.0,-1
INC-0007,6.935921,79.924826,primary,Avissawella Road,4,1,flat_tire,0.3,9,38,4,Friday,2,40,2026-02-22T09:38:00,5.6,HIGH,0.25,0.722,0.85,0.7,0.3,0.5,7.5,20.0,-1
INC-0008,6.940527,79.857133,primary,Mohamad Zain Mawatha (Central Road),2,1,accident_minor,0.5,15,29,4,Friday,1,45,2026-01-16T15:29:00,5.7,HIGH,0.5,0.552,0.65,0.7,0.5,1.12,25.3,19.3,-1
INC-0009,6.770747,79.948555,secondary,Kesbewa - Kindelpitiya - Bandaragama Road,2,1,engine_failure,0.7,18,13,4,Friday,3,28,2026-03-07T18:13:00,6.8,HIGH,0.5,0.7,1.0,0.5,0.7,3.33,100.0,30.0,-1
INC-0010,6.952416,80.213566,trunk,Avissawella - Hatton - Nuwara Eliya Road,2,1,engine_failure,0.7,19,51,3,Thursday,1,85,2026-01-24T19:51:00,6.8,HIGH,0.5,0.675,0.75,0.85,0.7,3.75,112.5,60.0,2
INC-0011,6.946281,79.871437,primary,M. Vincent Perera Mawatha (Grandpass Road),2,1,engine_failure,0.7,14,16,6,Sunday,4,29,2026-04-10T14:16:00,4.3,MEDIUM,0.5,0.187,0.22,0.7,0.7,0.0,0.0,0.0,3
INC-0012,6.846194,79.907278,tertiary,Egodawatte Road,2,1,accident_minor,0.5,22,52,2,Wednesday,11,44,2026-11-11T22:52:00,3.0,MEDIUM,0.5,0.083,0.15,0.35,0.5,0.0,0.0,0.0,-1
INC-0013,6.781562,79.918434,tertiary,Dampe Road,2,1,flat_tire,0.3,7,54,3,Thursday,11,35,2026-11-22T07:54:00,4.9,MEDIUM,0.5,0.44,0.8,0.35,0.3,0.75,11.2,45.0,-1
INC-0014,6.905814,79.948597,primary,Kaduwela Road (New Kandy Road),2,1,engine_failure,0.7,19,26,4,Friday,2,43,2026-02-26T19:26:00,6.4,HIGH,0.5,0.637,0.75,0.7,0.7,2.5,75.0,60.0,-1
INC-0015,6.859086,79.885716,residential,Wicramarathne Road,2,1,fuel_empty,0.2,10,41,1,Tuesday,5,11,2026-05-06T10:41:00,3.6,MEDIUM,0.5,0.24,0.6,0.15,0.2,0.08,0.8,5.0,-1
INC-0016,6.861628,79.895212,secondary,Pepiliyana Road,2,1,engine_failure,0.7,14,44,1,Tuesday,10,56,2026-10-25T14:44:00,5.1,HIGH,0.5,0.385,0.55,0.5,0.7,0.33,10.0,6.7,-1
INC-0017,6.837548,80.125083,secondary,Meepe-Ingiriya Road,2,2,accident_major,1.0,14,42,6,Sunday,1,126,2026-01-26T14:42:00,5.6,HIGH,1.0,0.154,0.22,0.5,1.0,2.93,176.0,33.8,-1
INC-0018,6.909466,79.981191,motorway,Outer Circular Highway,2,1,overheating,0.5,15,55,2,Wednesday,10,30,2026-10-28T15:55:00,6.3,HIGH,0.5,0.617,0.65,1.0,0.5,1.83,36.7,17.1,-1
INC-0019,6.869501,79.978347,motorway,Outer Circular Highway,2,1,accident_minor,0.5,18,13,0,Monday,3,51,2026-03-07T18:13:00,7.9,HIGH,0.5,0.95,1.0,1.0,0.5,6.88,154.7,22.5,4
INC-0020,6.820003,79.986132,motorway,Southern Expressway,2,1,flat_tire,0.3,19,37,3,Thursday,9,35,2026-09-23T19:37:00,6.5,HIGH,0.5,0.712,0.75,1.0,0.3,2.29,34.4,30.0,5
INC-0021,6.880143,79.958048,secondary,Hokandara-Thalawathugoda Road,2,1,flat_tire,0.3,9,38,0,Monday,12,45,2026-12-25T09:38:00,5.6,HIGH,0.5,0.595,0.85,0.5,0.3,1.17,17.5,70.0,-1
INC-0022,6.951612,79.874351,primary,Sirimavo Bandaranaike Mawatha (Prince of Wales Avenue),2,1,fuel_empty,0.2,14,46,3,Thursday,6,25,2026-06-02T14:46:00,4.9,MEDIUM,0.5,0.468,0.55,0.7,0.2,0.17,1.7,2.2,24
INC-0023,6.852415,79.917435,trunk,High Level Road,2,1,accident_minor,0.5,15,41,1,Tuesday,6,19,2026-06-20T15:41:00,6.0,HIGH,0.5,0.585,0.65,0.85,0.5,1.69,38.0,19.3,-1
INC-0024,6.912005,79.877447,trunk,Rt. Hon. D. S. Senanayake Mawatha,3,1,overheating,0.5,16,32,0,Monday,5,51,2026-05-06T16:32:00,6.3,HIGH,0.333,0.72,0.8,0.85,0.5,1.33,26.7,26.7,-1
INC-0025,6.906451,79.94684,primary,Kaduwela Road (New Kandy Road),2,1,accident_minor,0.5,19,29,1,Tuesday,7,11,2026-07-09T19:29:00,6.1,HIGH,0.5,0.637,0.75,0.7,0.5,1.88,42.2,45.0,-1
INC-0026,6.776124,79.901366,living_street,Unknown,2,1,overheating,0.5,7,1,3,Thursday,11,48,2026-11-04T07:01:00,4.4,MEDIUM,0.5,0.24,0.8,0.1,0.5,0.25,5.0,60.0,-1
INC-0027,6.928708,79.877949,trunk,Dr. Danister de Silva Mawatha (Baseline Road),3,1,overheating,0.5,14,37,4,Friday,9,19,2026-09-02T14:37:00,5.2,HIGH,0.333,0.495,0.55,0.85,0.5,0.0,0.0,0.0,-1
INC-0028,6.779657,79.883143,primary,Galle Road,2,1,fuel_empty,0.2,8,53,4,Friday,4,23,2026-04-01T08:53:00,6.7,HIGH,0.5,0.85,1.0,0.7,0.2,1.67,16.7,10.0,-1
INC-0029,6.812388,79.887625,tertiary,Borupana Road,2,1,accident_minor,0.5,17,13,1,Tuesday,5,56,2026-05-11T17:13:00,5.7,HIGH,0.5,0.522,0.95,0.35,0.5,1.69,38.0,180.0,-1
INC-0030,6.948112,80.214059,trunk,Avissawella - Ratnapura Road (bypass),2,1,engine_failure,0.7,13,4,0,Monday,12,29,2026-12-02T13:04:00,6.1,HIGH,0.5,0.54,0.6,0.85,0.7,1.5,45.0,15.0,2
INC-0031,6.930212,79.963186,tertiary,Welivita Road,2,1,fuel_empty,0.2,9,36,0,Monday,9,27,2026-09-11T09:36:00,4.9,MEDIUM,0.5,0.468,0.85,0.35,0.2,0.58,5.8,46.7,-1
INC-0032,6.881472,79.876317,trunk,Edmonton Road,3,1,flat_tire,0.3,19,59,6,Sunday,5,34,2026-05-24T19:59:00,3.8,MEDIUM,0.333,0.27,0.3,0.85,0.3,0.0,0.0,0.0,14
INC-0033,6.938781,79.91555,secondary,Welikada-Kohilawatte Road,2,1,flat_tire,0.3,11,0,4,Friday,6,33,2026-06-28T11:00:00,4.5,MEDIUM,0.5,0.385,0.55,0.5,0.3,0.17,2.5,3.3,-1
INC-0034,6.848667,79.977592,secondary,Athurugiriya-Kottawa Road,2,1,flat_tire,0.3,8,20,1,Tuesday,3,26,2026-03-27T08:20:00,6.2,HIGH,0.5,0.7,1.0,0.5,0.3,1.67,25.0,15.0,12
INC-0035,6.948097,79.864782,tertiary,St Benadicts Street,2,1,battery_dead,0.3,9,41,2,Wednesday,8,19,2026-08-08T09:41:00,5.1,HIGH,0.5,0.468,0.85,0.35,0.3,0.73,9.1,58.3,-1
INC-0036,6.847372,80.063417,unclassified,Unknown,2,1,engine_failure,0.7,18,14,3,Thursday,1,19,2026-01-01T18:14:00,5.8,HIGH,0.5,0.5,1.0,0.2,0.7,1.67,50.0,30.0,-1
INC-0037,6.835599,80.12773,secondary,Padukka - Ingirya Road,2,1,accident_minor,0.5,6,39,3,Thursday,3,25,2026-03-06T06:39:00,4.4,MEDIUM,0.5,0.315,0.45,0.5,0.5,0.0,0.0,0.0,-1
INC-0038,6.852496,80.035588,trunk,High Level Road,2,1,flat_tire,0.3,18,28,3,Thursday,7,40,2026-07-27T18:28:00,7.2,HIGH,0.5,0.9,1.0,0.85,0.3,3.75,56.2,15.0,6
INC-0039,6.929136,79.995134,secondary,Kaduwela – Athurugiriya Road,2,1,flat_tire,0.3,9,36,4,Friday,1,34,2026-01-04T09:36:00,5.6,HIGH,0.5,0.595,0.85,0.5,0.3,1.17,17.5,70.0,-1
INC-0040,6.865759,80.01482,primary,Malabe - Godagama Road,2,1,engine_failure,0.7,18,30,2,Wednesday,8,66,2026-08-20T18:30:00,7.5,HIGH,0.5,0.85,1.0,0.7,0.7,5.0,150.0,30.0,-1
INC-0041,6.861438,79.86396,trunk,Galle Road,2,1,fuel_empty,0.2,8,46,2,Wednesday,2,22,2026-02-27T08:46:00,7.1,HIGH,0.5,0.9,1.0,0.85,0.2,2.5,25.0,10.0,7
INC-0042,6.836717,80.11819,secondary,Padukka - Ingirya Road,2,1,engine_failure,0.7,10,10,6,Sunday,8,93,2026-08-06T10:10:00,4.0,MEDIUM,0.5,0.168,0.24,0.5,0.7,0.0,0.0,0.0,-1
INC-0043,6.829059,79.911771,primary,Colombo - Horana Road,2,1,engine_failure,0.7,9,42,0,Monday,8,61,2026-08-18T09:42:00,6.9,HIGH,0.5,0.722,0.85,0.7,0.7,3.5,105.0,140.0,-1
INC-0044,6.917205,80.09997,secondary,Kaluaggala-Labugama-Kalatuwawa Road,2,2,accident_major,1.0,20,7,3,Thursday,1,146,2026-01-28T20:07:00,6.4,HIGH,1.0,0.315,0.45,0.5,1.0,6.0,360.0,98.2,8
INC-0045,6.888414,79.981804,residential,Unknown,2,1,flat_tire,0.3,7,13,6,Sunday,6,52,2026-06-11T07:13:00,2.9,LOW,0.5,0.128,0.32,0.15,0.3,0.0,0.0,0.0,-1
INC-0046,6.937058,79.944126,primary,Avissawella Road,4,1,engine_failure,0.7,6,8,1,Tuesday,9,69,2026-09-21T06:08:00,4.6,MEDIUM,0.25,0.383,0.45,0.7,0.7,0.0,0.0,0.0,-1
INC-0047,6.865704,80.02049,primary,Malabe - Godagama Road,2,1,flat_tire,0.3,12,25,6,Sunday,2,26,2026-02-07T12:25:00,3.8,MEDIUM,0.5,0.221,0.26,0.7,0.3,0.0,0.0,0.0,-1
INC-0048,6.917047,79.983393,motorway,Outer Circular Highway,2,1,flat_tire,0.3,13,50,1,Tuesday,9,45,2026-09-07T13:50:00,5.8,HIGH,0.5,0.57,0.6,1.0,0.3,0.92,13.8,7.5,-1
INC-0049,6.881556,79.976673,motorway,Outer Circular Highway,2,1,flat_tire,0.3,9,28,3,Thursday,6,20,2026-06-26T09:28:00,6.9,HIGH,0.5,0.807,0.85,1.0,0.3,3.21,48.1,70.0,-1
INC-0050,6.866801,79.862198,tertiary,Vivekananda Road,2,1,overheating,0.5,7,53,5,Saturday,8,46,2026-08-17T07:53:00,4.1,MEDIUM,0.5,0.264,0.48,0.35,0.5,0.0,0.0,0.0,7
INC-0051,6.914358,80.125811,unclassified,Unknown,2,1,engine_failure,0.7,11,50,1,Tuesday,3,106,2026-03-17T11:50:00,4.4,MEDIUM,0.5,0.275,0.55,0.2,0.7,0.17,5.0,6.7,-1
